Project ID,Location,Type,Scope (km or m3),CapEx ($M),Duration (months),Safety Score,Delay %,Rework Cost %
OIL046,Bonnyville M.D. No. 87,Offshore Platform,88102 m3,798.24,25,86.6,6.9%,1.9%
OIL047,Edmonton,Petrochemical Plant,231415 m3,705.79,18,81.2,6.6%,1.4%
OIL048,Dawson City,Petrochemical Plant,298683 m3,1072.02,21,93.3,2.7%,0.5%
OIL049,Fort Simpson,Storage Terminal,238871 m3,864.54,19,92.1,7.0%,1.3%
OIL050,Clyde River; Pond Inlet; Whale Cove,Pipeline,471 km,631.17,20,90.9,4.6%,1.0%
OIL051,Peace River,Petrochemical Plant,242714 m3,766.39,20,85.1,7.9%,0.7%
OIL052,M.D. of Opportunity No. 17,Petrochemical Plant,160133 m3,606.58,18,87.7,10.5%,1.2%
OIL053,Kugluktuk,Refinery,152023 m3,1006.52,20,80.3,10.6%,2.3%
OIL054,Edmonton,Offshore Platform,168012 m3,898.38,22,87.6,7.8%,1.0%
OIL055,Fort Saskatchewan,Offshore Platform,276156 m3,738.05,15,84.6,10.8%,3.9%
OIL056,Clearwater County,Offshore Platform,122474 m3,664.44,15,85.4,8.0%,3.0%
OIL057,Whitehorse,Petrochemical Plant,73574 m3,709.99,20,82.7,8.4%,1.8%
OIL058,Chesterfield Inlet; Coral Harbour; Pond Inlet; Rankin Inlet,Refinery,86187 m3,907.1,12,86.9,5.5%,1.9%
OIL059,Redwater,Petrochemical Plant,175917 m3,750.21,22,89.6,7.9%,1.7%
OIL060,Regional Municipality of Wood Buffalo,Refinery,105393 m3,731.54,21,96.2,2.4%,0.5%
OIL061,M.D. of Opportunity No. 17,Storage Terminal,251245 m3,996.31,26,89.9,6.6%,1.2%
OIL062,Lutsel K’e,Refinery,119836 m3,793.46,21,82.5,9.7%,0.8%
OIL063,Peace River,Offshore Platform,192709 m3,618.39,17,82.0,12.3%,3.6%
OIL064,Dawson City,Offshore Platform,107108 m3,803.01,18,81.8,8.9%,0.7%
OIL065,Regional Municipality of Wood Buffalo,Pipeline,127 km,556.3,10,91.8,2.3%,0.5%
OIL066,Peace River,Petrochemical Plant,185504 m3,808.33,23,84.5,6.3%,1.2%
OIL067,Clyde River; Pond Inlet; Whale Cove,Refinery,78699 m3,674.7,10,91.4,2.3%,2.2%
OIL068,Ponoka County No. 3,Refinery,155977 m3,1023.91,22,81.4,9.9%,1.1%
OIL069,Lac La Biche County,Pipeline,322 km,670.69,14,98.7,2.4%,0.5%
OIL070,Yellowhead County,Refinery,62910 m3,799.34,19,94.3,2.1%,0.5%
OIL071,Regional Municipality of Wood Buffalo,Offshore Platform,125703 m3,384.17,10,82.5,6.2%,1.6%
OIL072,Yellowhead County,Pipeline,143 km,829.04,22,88.1,6.1%,1.7%
OIL073,Dawson City,Petrochemical Plant,147579 m3,618.06,17,87.9,9.5%,2.2%
OIL074,Athabasca County,Storage Terminal,155292 m3,827.7,19,90.2,3.2%,0.5%
OIL075,Redwater,Refinery,166748 m3,683.48,18,87.7,4.1%,0.8%
OIL076,Bonnyville M.D. No. 87,Storage Terminal,50235 m3,831.91,23,89.4,6.6%,1.5%
OIL077,Sachs Harbour,Offshore Platform,222904 m3,952.57,26,83.2,9.3%,1.7%
OIL078,Clearwater County,Petrochemical Plant,264057 m3,848.69,25,85.4,3.2%,0.5%
OIL079,Fort Providence; Kakisa,Pipeline,72 km,1199.61,25,87.2,3.2%,0.5%
OIL080,Whitehorse,Offshore Platform,74519 m3,1086.5,25,87.1,6.4%,2.1%
OIL081,Kugluktuk,Petrochemical Plant,60789 m3,965.63,27,85.0,8.3%,1.1%
OIL082,Strathcona County,Pipeline,167 km,1168.19,33,90.2,4.0%,0.7%
OIL083,Regional Municipality of Wood Buffalo,Offshore Platform,197550 m3,1066.09,33,87.9,9.2%,2.4%
OIL084,Fort Providence; Kakisa,Refinery,126077 m3,865.28,24,88.9,7.3%,1.1%
OIL085,Redwater,Storage Terminal,261951 m3,896.2,23,86.8,7.5%,0.9%
OIL086,Edmonton,Pipeline,263 km,1177.37,28,90.0,5.8%,0.8%
OIL087,Inuvik,Offshore Platform,169719 m3,483.32,16,81.8,10.4%,2.2%
OIL088,Fort Simpson,Pipeline,139 km,849.22,21,94.5,5.3%,0.6%
OIL089,Athabasca County,Offshore Platform,251579 m3,761.82,20,80.2,10.5%,1.6%
OIL090,Athabasca County,Refinery,191467 m3,660.36,17,82.1,8.9%,2.1%
OIL091,Inuvik,Storage Terminal,202638 m3,800.14,20,87.3,6.6%,1.7%
OIL092,Chesterfield Inlet; Coral Harbour; Pond Inlet; Rankin Inlet,Petrochemical Plant,223532 m3,771.13,27,82.6,11.5%,0.8%
OIL093,Fort Saskatchewan,Offshore Platform,169614 m3,740.27,16,85.4,6.9%,1.1%
OIL094,M.D. of Opportunity No. 17,Storage Terminal,76399 m3,990.3,28,95.1,3.9%,0.5%
OIL095,Inuvik,Pipeline,288 km,992.56,25,98.9,1.4%,0.5%
OIL096,Edmonton,Offshore Platform,62175 m3,812.31,25,81.0,8.2%,1.8%
OIL097,Lac La Biche County,Refinery,66032 m3,865.23,18,91.7,3.8%,0.5%
OIL098,Regional Municipality of Wood Buffalo,Offshore Platform,152870 m3,636.74,19,82.3,10.7%,1.4%
OIL099,Inuvik,Storage Terminal,211047 m3,833.28,18,89.9,5.7%,1.9%
OIL100,Clyde River,Refinery,287804 m3,243.2,6,86.1,4.9%,1.5%
OIL101,Ponoka County No. 3,Refinery,176678 m3,990.04,26,93.4,3.6%,0.6%
OIL102,Fort Providence; Kakisa,Refinery,259483 m3,664.15,17,91.9,7.4%,1.5%
OIL103,Ponoka County No. 3,Pipeline,459 km,1080.78,26,84.6,5.7%,1.6%
OIL104,Kugluktuk,Pipeline,236 km,1041.52,28,85.0,11.7%,3.2%
OIL105,Bonnyville M.D. No. 87,Pipeline,299 km,684.87,17,100.0,-0.2%,0.5%
OIL106,Clyde River,Pipeline,178 km,848.5,27,91.8,1.0%,0.5%
OIL107,Bonnyville M.D. No. 87,Storage Terminal,287739 m3,738.44,16,92.7,5.7%,1.5%
OIL108,Chesterfield Inlet; Coral Harbour; Pond Inlet; Rankin Inlet,Petrochemical Plant,117957 m3,1057.23,27,87.0,7.0%,2.0%
OIL109,Clyde River,Petrochemical Plant,293225 m3,963.7,24,88.8,5.2%,1.5%
OIL110,Fort Simpson,Offshore Platform,87265 m3,936.3,30,86.4,4.3%,1.6%
OIL111,Ponoka County No. 3,Refinery,263122 m3,591.5,19,87.0,6.8%,1.8%
OIL112,Clearwater County,Petrochemical Plant,208417 m3,839.31,13,89.9,4.6%,1.4%
OIL113,Regional Municipality of Wood Buffalo,Offshore Platform,79430 m3,712.47,14,95.4,1.0%,0.5%
OIL114,Lac La Biche County,Storage Terminal,193748 m3,759.84,13,88.8,6.5%,1.8%
OIL115,Peace River,Pipeline,486 km,793.06,21,98.2,-1.1%,0.5%
OIL116,Clyde River; Pond Inlet; Whale Cove,Offshore Platform,210829 m3,634.88,13,86.5,7.1%,1.8%
OIL117,Ponoka County No. 3,Refinery,90042 m3,696.49,16,90.2,3.7%,1.3%
OIL118,Chesterfield Inlet; Coral Harbour; Pond Inlet; Rankin Inlet,Offshore Platform,209903 m3,685.85,24,82.3,4.4%,0.5%
OIL119,Clyde River,Offshore Platform,153320 m3,901.35,22,81.4,11.2%,1.7%
OIL120,Bonnyville M.D. No. 87,Storage Terminal,190975 m3,673.8,15,90.9,4.5%,1.5%
OIL121,Dawson City,Refinery,178322 m3,1064.77,23,81.4,10.2%,3.1%
OIL122,M.D. of Opportunity No. 17,Offshore Platform,246154 m3,1021.74,24,81.2,10.0%,1.1%
OIL123,Bonnyville M.D. No. 87,Offshore Platform,99708 m3,766.58,20,89.8,3.5%,0.7%
OIL124,Redwater,Refinery,268335 m3,880.08,21,85.6,5.2%,1.0%
OIL125,Clyde River; Pond Inlet; Whale Cove,Petrochemical Plant,182079 m3,853.32,20,89.2,5.5%,1.2%
OIL126,Inuvik,Storage Terminal,253667 m3,837.32,20,90.8,6.7%,0.5%
OIL127,Strathcona County,Pipeline,71 km,703.97,18,93.5,2.2%,1.0%
OIL128,Bonnyville,Refinery,61745 m3,786.85,15,79.2,11.3%,2.4%
OIL129,Fort Simpson,Refinery,293374 m3,1024.37,30,87.1,4.2%,2.1%
OIL130,Fort Providence; Kakisa,Offshore Platform,244488 m3,585.98,9,82.7,11.0%,2.3%
OIL131,Whitehorse,Pipeline,330 km,900.48,28,100.0,-3.3%,0.5%
OIL132,Fort Saskatchewan,Storage Terminal,220182 m3,562.67,11,91.3,6.8%,1.6%
OIL133,Edmonton,Pipeline,431 km,664.72,22,91.8,1.2%,0.5%
OIL134,Clyde River; Pond Inlet; Whale Cove,Offshore Platform,210831 m3,912.94,22,84.9,7.2%,1.1%
OIL135,Fort Providence; Kakisa,Offshore Platform,202876 m3,851.6,23,82.5,9.6%,1.0%
OIL136,Inuvik,Storage Terminal,98787 m3,809.52,24,87.4,8.3%,1.0%
OIL137,Ponoka County No. 3,Storage Terminal,106985 m3,599.68,14,97.2,2.7%,0.5%
OIL138,Chesterfield Inlet; Coral Harbour; Pond Inlet; Rankin Inlet,Offshore Platform,107660 m3,711.0,23,86.4,7.6%,2.3%
OIL139,Yellowhead County,Offshore Platform,150734 m3,1063.48,27,93.3,2.0%,0.5%
OIL140,Inuvik,Storage Terminal,191398 m3,840.91,20,98.7,-2.5%,0.5%
OIL141,Ponoka County No. 3,Petrochemical Plant,160198 m3,687.4,17,81.8,11.5%,2.0%
OIL142,Dawson City,Offshore Platform,226572 m3,797.29,19,78.3,11.6%,3.2%
OIL143,Fort Simpson,Petrochemical Plant,259411 m3,974.76,27,99.4,1.0%,0.5%
OIL144,Regional Municipality of Wood Buffalo,Storage Terminal,93585 m3,815.32,24,91.8,2.3%,0.5%
OIL145,Fort Saskatchewan,Petrochemical Plant,134878 m3,949.86,22,93.6,0.1%,0.5%
OIL146,Bonnyville M.D. No. 87,Petrochemical Plant,226037 m3,335.06,6,86.8,6.3%,1.8%
OIL147,Clearwater County,Storage Terminal,287697 m3,853.64,19,86.5,3.5%,1.0%
OIL148,Redwater,Storage Terminal,193660 m3,781.25,17,87.0,6.2%,1.5%
OIL149,Strathcona County,Storage Terminal,161453 m3,767.31,16,92.4,4.0%,0.5%
OIL150,Athabasca County,Petrochemical Plant,232958 m3,497.48,11,95.3,3.1%,0.9%
OIL151,Yellowhead County,Storage Terminal,264266 m3,734.62,17,90.2,3.5%,1.4%
OIL152,Bonnyville M.D. No. 87,Pipeline,228 km,783.86,22,93.4,5.3%,0.5%
OIL153,Redwater,Storage Terminal,89062 m3,612.31,17,91.1,3.1%,0.5%
OIL154,Regional Municipality of Wood Buffalo,Pipeline,360 km,843.49,21,92.8,4.0%,1.1%
OIL155,Sachs Harbour,Pipeline,351 km,836.13,23,95.4,5.9%,1.2%
OIL156,Clyde River,Pipeline,218 km,577.67,14,90.0,5.6%,1.0%
OIL157,Kugluktuk,Offshore Platform,246037 m3,957.98,23,79.1,8.7%,2.6%
OIL158,Lac La Biche County,Petrochemical Plant,258786 m3,507.59,10,78.4,9.5%,0.7%
OIL159,Athabasca County,Offshore Platform,257815 m3,1017.93,30,76.0,10.6%,1.6%
OIL160,Lutsel K’e,Petrochemical Plant,51177 m3,1258.19,27,87.7,1.3%,0.5%
OIL161,Edmonton,Refinery,208059 m3,951.79,25,88.4,5.7%,0.5%
OIL162,Regional Municipality of Wood Buffalo,Petrochemical Plant,231187 m3,910.61,20,83.1,10.4%,1.9%
OIL163,Peace River,Refinery,235763 m3,656.63,21,83.8,8.2%,2.0%
OIL164,Clyde River; Pond Inlet; Whale Cove,Pipeline,475 km,902.71,20,91.4,3.4%,1.3%
OIL165,Yellowhead County,Offshore Platform,138204 m3,1041.23,27,83.9,8.9%,0.6%
OIL166,Strathcona County,Pipeline,203 km,1149.92,26,87.8,7.5%,2.0%
OIL167,Clearwater County,Refinery,284386 m3,632.93,22,83.2,9.0%,2.0%
OIL168,Chesterfield Inlet; Coral Harbour; Pond Inlet; Rankin Inlet,Petrochemical Plant,66014 m3,890.71,20,84.4,5.1%,1.5%
OIL169,Clearwater County,Pipeline,307 km,933.4,19,89.5,9.0%,2.2%
OIL170,Kugluktuk,Refinery,83893 m3,696.03,13,90.3,2.6%,0.5%
OIL171,Kugluktuk,Petrochemical Plant,122240 m3,898.68,25,87.8,4.9%,1.6%
OIL172,Redwater,Petrochemical Plant,95113 m3,974.12,28,82.2,12.2%,2.6%
OIL173,Sachs Harbour,Storage Terminal,145673 m3,601.86,17,86.3,7.0%,1.0%
OIL174,Redwater,Storage Terminal,191826 m3,1047.22,23,88.7,8.1%,1.7%
OIL175,Fort Providence; Kakisa,Refinery,141878 m3,859.61,24,83.0,8.5%,0.8%
OIL176,Ponoka County No. 3,Refinery,265400 m3,718.44,12,90.0,2.8%,0.5%
OIL177,Bonnyville,Offshore Platform,140517 m3,850.26,21,83.5,9.2%,2.7%
OIL178,Whitehorse,Refinery,113133 m3,780.22,17,89.7,6.3%,0.8%
OIL179,Whitehorse,Refinery,237226 m3,592.68,19,88.2,6.2%,1.6%
OIL180,Edmonton,Petrochemical Plant,164099 m3,963.55,17,87.3,5.6%,0.5%
OIL181,Regional Municipality of Wood Buffalo,Storage Terminal,197992 m3,778.39,19,88.4,6.4%,1.8%
OIL182,Athabasca County,Refinery,284555 m3,708.21,14,81.7,6.5%,1.1%
OIL183,Athabasca County,Refinery,227404 m3,500.82,15,83.1,7.9%,0.6%
OIL184,Lac La Biche County,Storage Terminal,91568 m3,970.89,25,90.0,5.9%,1.5%
OIL185,Fort Simpson,Storage Terminal,62411 m3,894.12,25,88.3,8.5%,2.2%
OIL186,Inuvik,Petrochemical Plant,285516 m3,365.24,7,76.6,10.6%,2.4%
OIL187,M.D. of Opportunity No. 17,Petrochemical Plant,203812 m3,883.25,25,86.5,5.9%,0.9%
OIL188,Bonnyville,Petrochemical Plant,139881 m3,1243.68,33,82.0,9.9%,3.3%
OIL189,Strathcona County,Petrochemical Plant,245113 m3,666.19,20,84.6,11.4%,1.7%
OIL190,Athabasca County,Refinery,296535 m3,984.27,25,91.2,3.1%,0.7%
OIL191,Dawson City,Petrochemical Plant,80111 m3,793.98,21,90.2,7.4%,0.7%
OIL192,Edmonton,Storage Terminal,190938 m3,837.15,19,94.8,5.1%,0.5%
OIL193,Sachs Harbour,Refinery,92533 m3,805.96,18,88.7,6.1%,0.8%
OIL194,Clearwater County,Refinery,242630 m3,776.52,17,91.7,4.3%,1.1%
OIL195,Peace River,Storage Terminal,145457 m3,727.01,16,85.8,3.2%,0.9%
OIL196,Fort Simpson,Petrochemical Plant,126971 m3,829.54,21,86.3,4.2%,1.6%
OIL197,Bonnyville,Pipeline,317 km,766.58,20,91.0,7.7%,2.5%
OIL198,Redwater,Offshore Platform,275535 m3,946.89,25,85.1,7.3%,1.7%
OIL199,Fort Saskatchewan,Offshore Platform,227558 m3,898.89,25,94.2,5.1%,1.3%
OIL200,Lac La Biche County,Storage Terminal,59496 m3,447.85,9,91.9,3.5%,0.5%
OIL201,Bonnyville M.D. No. 87,Offshore Platform,263440 m3,628.9,14,86.4,8.4%,1.7%
OIL202,Regional Municipality of Wood Buffalo,Pipeline,161 km,916.78,24,97.8,-1.8%,0.5%
OIL203,Bonnyville,Offshore Platform,296884 m3,742.48,16,89.8,6.3%,1.1%
OIL204,Inuvik,Petrochemical Plant,130073 m3,624.99,11,92.1,2.8%,1.9%
OIL205,Clyde River; Pond Inlet; Whale Cove,Petrochemical Plant,169119 m3,946.85,21,86.9,5.2%,1.0%
OIL206,Dawson City,Pipeline,368 km,813.12,24,89.4,7.2%,1.8%
OIL207,Peace River,Petrochemical Plant,276019 m3,872.23,20,84.4,5.2%,0.9%
OIL208,Clearwater County,Storage Terminal,71621 m3,939.65,20,97.4,3.7%,0.7%
OIL209,Fort Providence; Kakisa,Storage Terminal,238490 m3,860.76,17,92.9,6.9%,1.7%
OIL210,Dawson City,Petrochemical Plant,242402 m3,839.46,20,80.6,10.7%,1.8%
OIL211,Bonnyville M.D. No. 87,Storage Terminal,295317 m3,702.65,18,88.9,3.6%,0.9%
OIL212,Clyde River; Pond Inlet; Whale Cove,Storage Terminal,218553 m3,796.34,17,86.4,7.5%,1.0%
OIL213,Peace River,Refinery,57896 m3,694.78,17,88.4,3.5%,1.0%
OIL214,Fort Saskatchewan,Offshore Platform,116707 m3,743.73,22,83.5,9.3%,2.5%
OIL215,Lutsel K’e,Refinery,78228 m3,577.92,16,82.7,13.5%,3.2%
OIL216,Clyde River,Pipeline,227 km,1032.95,24,98.5,1.3%,0.5%
OIL217,Clyde River; Pond Inlet; Whale Cove,Petrochemical Plant,279948 m3,885.76,24,87.7,5.4%,1.1%
OIL218,M.D. of Opportunity No. 17,Refinery,63140 m3,634.2,17,84.5,7.3%,1.9%
OIL219,Dawson City,Petrochemical Plant,119286 m3,657.85,17,92.6,3.8%,0.5%
OIL220,Fort Simpson,Refinery,113870 m3,640.16,18,91.2,2.5%,0.6%
OIL221,Clyde River,Refinery,299627 m3,787.79,17,88.3,7.6%,1.7%
OIL222,Clearwater County,Offshore Platform,260097 m3,649.64,16,81.5,8.2%,0.7%
OIL223,Clyde River,Storage Terminal,107828 m3,1037.63,28,93.1,3.1%,0.9%
OIL224,Redwater,Refinery,265814 m3,630.73,11,93.2,8.5%,1.0%
OIL225,Sachs Harbour,Petrochemical Plant,179951 m3,608.98,16,95.3,0.2%,0.5%
OIL226,Edmonton,Pipeline,112 km,848.25,18,91.8,2.3%,1.3%
OIL227,Bonnyville,Offshore Platform,189076 m3,1037.48,34,87.3,7.0%,0.5%
OIL228,Clyde River,Storage Terminal,291125 m3,919.29,28,91.4,3.7%,0.5%
OIL229,Redwater,Pipeline,262 km,947.35,22,92.3,5.9%,0.6%
OIL230,Regional Municipality of Wood Buffalo,Pipeline,356 km,1128.21,33,90.7,7.1%,2.0%
OIL231,Bonnyville M.D. No. 87,Storage Terminal,199130 m3,704.6,20,88.7,4.3%,0.5%
OIL232,Fort Simpson,Storage Terminal,236368 m3,900.76,21,93.1,6.2%,1.8%
OIL233,Fort Providence; Kakisa,Petrochemical Plant,252978 m3,699.37,22,88.4,6.2%,1.0%
OIL234,Fort Providence; Kakisa,Offshore Platform,72746 m3,949.31,21,85.6,3.8%,0.5%
OIL235,Sachs Harbour,Offshore Platform,227810 m3,692.93,17,86.3,7.2%,0.9%
OIL236,Dawson City,Offshore Platform,289017 m3,950.12,26,87.0,6.6%,1.5%
OIL237,Bonnyville,Pipeline,324 km,873.46,27,91.1,3.8%,0.5%
OIL238,Athabasca County,Petrochemical Plant,297522 m3,740.75,21,83.5,6.9%,2.0%
OIL239,Regional Municipality of Wood Buffalo,Pipeline,174 km,980.49,25,94.9,1.3%,0.5%
OIL240,Bonnyville M.D. No. 87,Storage Terminal,94900 m3,1032.38,23,91.0,6.5%,2.0%
OIL241,M.D. of Opportunity No. 17,Petrochemical Plant,279718 m3,437.99,9,92.9,2.8%,0.5%
OIL242,Sachs Harbour,Petrochemical Plant,139906 m3,990.57,29,85.9,9.9%,1.8%
OIL243,Kugluktuk,Storage Terminal,295676 m3,758.47,14,93.6,2.8%,0.5%
OIL244,Sachs Harbour,Offshore Platform,135371 m3,706.09,10,78.9,15.1%,2.7%
OIL245,Peace River,Petrochemical Plant,244387 m3,816.49,16,85.8,5.6%,1.7%
OIL246,Athabasca County,Pipeline,314 km,1346.17,32,95.4,2.6%,1.4%
OIL247,Bonnyville,Pipeline,88 km,1180.24,29,89.2,2.4%,0.9%
OIL248,Lutsel K’e,Petrochemical Plant,290907 m3,763.7,15,91.1,5.8%,0.8%
OIL249,Ponoka County No. 3,Pipeline,224 km,724.6,20,96.3,3.0%,0.8%
OIL250,Sachs Harbour,Storage Terminal,276416 m3,636.28,17,89.3,7.8%,1.9%
OIL251,Athabasca County,Petrochemical Plant,124637 m3,941.64,24,90.8,5.2%,1.3%
OIL252,Sachs Harbour,Refinery,260000 m3,651.04,17,95.6,0.5%,0.5%
OIL253,Bonnyville M.D. No. 87,Petrochemical Plant,218509 m3,408.12,12,90.4,7.4%,1.7%
OIL254,Whitehorse,Petrochemical Plant,271558 m3,1155.06,32,87.5,3.4%,0.8%
OIL255,Whitehorse,Storage Terminal,233467 m3,773.14,22,93.2,-0.1%,0.8%
OIL256,M.D. of Opportunity No. 17,Refinery,269575 m3,955.91,25,83.9,7.7%,1.8%
OIL257,Fort Saskatchewan,Storage Terminal,297202 m3,687.57,17,83.3,6.7%,0.8%
OIL258,Fort Simpson,Storage Terminal,295221 m3,1054.5,32,88.2,5.8%,0.5%
OIL259,Whitehorse,Offshore Platform,251260 m3,712.72,17,84.6,7.0%,0.5%
OIL260,Bonnyville M.D. No. 87,Refinery,265164 m3,729.0,14,82.2,3.7%,0.5%
OIL261,Clyde River,Pipeline,334 km,492.07,8,94.1,-1.1%,0.7%
OIL262,Inuvik,Petrochemical Plant,186570 m3,1246.26,30,91.1,5.5%,1.2%
OIL263,Lutsel K’e,Storage Terminal,272740 m3,812.22,22,93.8,-0.5%,1.0%
OIL264,Athabasca County,Storage Terminal,244994 m3,616.12,18,93.4,1.2%,0.5%
OIL265,Dawson City,Petrochemical Plant,239414 m3,706.94,17,97.6,-1.8%,0.5%
OIL266,Redwater,Petrochemical Plant,94789 m3,1153.82,28,88.1,4.6%,1.7%
OIL267,Redwater,Pipeline,420 km,875.42,22,96.5,1.6%,0.5%
OIL268,M.D. of Opportunity No. 17,Offshore Platform,243226 m3,631.45,15,87.7,7.2%,1.5%
OIL269,Dawson City,Storage Terminal,91862 m3,1033.16,25,89.5,7.3%,1.8%
OIL270,Peace River,Refinery,208175 m3,838.95,21,92.3,6.7%,2.4%
OIL271,Clyde River,Offshore Platform,99847 m3,1089.39,28,89.8,2.2%,0.5%
OIL272,M.D. of Opportunity No. 17,Storage Terminal,144754 m3,897.19,20,90.8,3.0%,0.5%
OIL273,Fort Providence; Kakisa,Offshore Platform,69810 m3,1221.89,33,91.9,5.4%,0.5%
OIL274,Regional Municipality of Wood Buffalo,Refinery,237771 m3,867.23,21,88.3,5.5%,0.5%
OIL275,Regional Municipality of Wood Buffalo,Offshore Platform,118487 m3,642.21,15,89.6,5.8%,1.0%
OIL276,Clearwater County,Pipeline,232 km,523.43,6,92.7,7.3%,1.5%
OIL277,Fort Saskatchewan,Refinery,154859 m3,646.6,13,90.1,1.5%,0.5%
OIL278,Redwater,Refinery,218785 m3,885.49,24,91.2,3.1%,0.5%
OIL279,Chesterfield Inlet; Coral Harbour; Pond Inlet; Rankin Inlet,Refinery,297644 m3,734.42,19,91.3,2.6%,0.5%
OIL280,Dawson City,Pipeline,460 km,644.49,17,96.2,-1.9%,0.5%
OIL281,Dawson City,Petrochemical Plant,290016 m3,786.89,26,93.3,0.7%,0.7%
OIL282,M.D. of Opportunity No. 17,Storage Terminal,148826 m3,1047.23,26,90.8,3.4%,0.7%
OIL283,Redwater,Petrochemical Plant,175737 m3,799.3,17,90.9,3.9%,0.9%
OIL284,Whitehorse,Storage Terminal,104120 m3,633.23,20,88.7,4.9%,1.4%
OIL285,Athabasca County,Pipeline,149 km,994.19,30,89.0,4.7%,0.6%
OIL286,Redwater,Storage Terminal,266212 m3,1025.09,25,97.9,-0.6%,0.5%
OIL287,Ponoka County No. 3,Pipeline,98 km,808.18,17,95.0,1.5%,0.5%
