Project ID,Region,Length (km),Delivery Model,CapEx ($M),Duration (months),Schedule Slip (%),Safety Incidents,Carbon Intensity (tCO2e/km)
RAIL099,Europe,28.6,DBFOM,1194.3,19,2.5,11,875
RAIL100,Asia,72.7,Design-Bid-Build,118.9,15,-0.2,2,705
RAIL101,South America,36.9,Design-Bid-Build,1059.3,30,6.2,8,964
RAIL102,Europe,43.6,EPC,2053.0,38,-7.9,17,750
RAIL103,Canada,66.5,PPP,983.9,11,-1.0,13,841
RAIL104,Africa,36.1,DBFOM,957.5,24,-13.7,6,983
RAIL105,USA,60.4,PPP,1349.4,72,-0.4,17,783
RAIL106,Asia,70.7,PPP,35.5,11,4.7,0,894
RAIL107,Asia,48.0,Design-Bid-Build,2688.5,22,-5.2,32,647
RAIL108,Canada,37.3,EPC,972.4,62,-3.3,11,708
RAIL109,Australia,35.5,DBFOM,3543.5,65,-2.8,32,732
RAIL110,Canada,27.3,PPP,100.9,59,-4.1,0,969
RAIL111,Europe,37.3,PPP,468.5,94,6.2,4,957
RAIL112,Asia,74.8,DBFOM,1336.4,70,-4.1,16,840
RAIL113,Asia,50.3,Design-Bid-Build,773.4,18,1.4,10,645
RAIL114,Australia,46.8,DBFOM,2427.7,15,7.9,26,828
RAIL115,Africa,34.0,Design-Bid-Build,597.0,32,-1.6,2,759
RAIL116,Africa,65.1,DBFOM,1282.1,6,7.8,13,514
RAIL117,Asia,57.7,DBFOM,1232.9,48,-1.2,9,1053
RAIL118,Europe,93.7,EPC,0.1,46,4.0,0,880
RAIL119,USA,76.1,Alliance,1361.0,63,2.6,10,827
RAIL120,Australia,54.0,Design-Bid-Build,60.4,111,-5.2,1,969
RAIL121,Australia,19.0,PPP,505.4,24,5.9,7,1047
RAIL122,USA,35.9,DBFOM,1160.3,73,-7.4,10,873
RAIL123,USA,49.1,DBFOM,893.8,49,-0.4,10,759
RAIL124,Canada,54.6,EPC,1447.2,25,-8.1,14,853
RAIL125,Canada,40.1,Alliance,2302.8,70,4.2,21,851
RAIL126,USA,40.3,EPC,2.1,13,0.0,0,861
RAIL127,Asia,31.1,Alliance,1866.0,14,4.8,16,768
RAIL128,Asia,59.2,Alliance,392.6,14,0.5,4,695
RAIL129,Canada,84.1,DBFOM,422.1,63,-2.3,8,492
RAIL130,Europe,84.0,DBFOM,1235.4,53,-2.2,14,756
RAIL131,Africa,92.0,DBFOM,623.9,44,1.9,8,993
RAIL132,Canada,75.9,PPP,37.4,58,3.6,1,671
RAIL133,Asia,49.6,DBFOM,50.6,24,-1.3,0,773
RAIL134,USA,28.6,PPP,3823.8,20,-3.6,37,707
RAIL135,Asia,45.2,Design-Bid-Build,434.8,62,-3.3,4,865
RAIL136,South America,49.7,EPC,3032.5,39,-4.6,35,850
RAIL137,Canada,26.2,Design-Bid-Build,311.3,37,3.8,4,854
RAIL138,USA,57.5,Design-Bid-Build,125.5,5,1.6,2,960
RAIL139,Canada,67.5,Alliance,1851.7,117,6.2,22,703
RAIL140,Asia,59.8,Alliance,57.0,43,-2.2,0,851
RAIL141,Canada,18.0,DBFOM,4995.9,49,-6.6,36,932
RAIL142,Asia,45.1,DBFOM,4697.8,29,7.4,60,687
RAIL143,Asia,78.8,Design-Bid-Build,67.3,58,3.7,1,949
RAIL144,South America,62.5,DBFOM,0.0,64,-14.2,2,725
RAIL145,USA,45.2,Alliance,0.1,50,-0.1,0,1074
RAIL146,USA,5.0,Alliance,977.3,83,-3.0,6,923
RAIL147,South America,42.7,PPP,722.6,8,9.1,8,821
RAIL148,Asia,62.4,Alliance,104.9,7,-3.9,0,724
RAIL149,Europe,15.7,PPP,7240.0,38,2.5,70,758
RAIL150,Africa,32.1,DBFOM,1826.9,83,4.3,18,986
RAIL151,Australia,65.5,PPP,1479.2,58,2.2,24,1147
RAIL152,Canada,26.5,EPC,519.0,51,10.2,4,916
RAIL153,Africa,42.8,DBFOM,864.5,63,-4.1,7,720
RAIL154,Canada,51.9,EPC,0.1,18,-6.5,1,828
RAIL155,Europe,79.4,EPC,625.8,17,-5.4,7,328
RAIL156,Australia,23.7,Design-Bid-Build,296.6,24,-4.8,6,834
RAIL157,Australia,38.7,Alliance,2295.3,24,7.8,43,958
RAIL158,USA,49.6,Design-Bid-Build,4045.9,26,-2.2,36,730
RAIL159,South America,64.1,EPC,450.5,59,2.9,6,786
RAIL160,South America,64.4,Alliance,4533.6,16,-3.6,60,740
RAIL161,Europe,18.7,Alliance,5508.1,30,1.6,52,920
RAIL162,South America,38.6,PPP,945.9,104,-4.4,10,803
RAIL163,USA,46.5,Alliance,1280.3,15,-4.3,8,883
RAIL164,Europe,56.3,DBFOM,1394.7,49,-1.6,16,745
RAIL165,Asia,43.5,Alliance,1148.2,63,-4.6,15,955
RAIL166,South America,31.3,EPC,252.5,86,3.4,3,764
RAIL167,Europe,46.2,DBFOM,273.4,112,1.0,2,1033
RAIL168,South America,44.3,PPP,521.5,5,-5.6,4,921
RAIL169,Europe,32.2,DBFOM,1403.4,35,-9.9,12,1012
RAIL170,Asia,52.5,PPP,501.6,55,-8.5,7,806
RAIL171,Africa,43.8,PPP,833.3,9,1.6,8,919
RAIL172,Australia,56.6,DBFOM,78.8,30,-0.3,1,740
RAIL173,Europe,65.2,PPP,580.9,20,10.5,13,686
RAIL174,Australia,27.3,DBFOM,2369.8,50,7.3,26,604
RAIL175,Asia,67.7,PPP,2057.1,10,1.7,24,570
RAIL176,Asia,37.6,Alliance,305.4,72,5.3,6,689
RAIL177,Australia,70.8,DBFOM,6822.6,84,4.3,73,514
RAIL178,Canada,64.0,DBFOM,2538.0,59,3.7,32,835
RAIL179,Asia,33.5,EPC,316.8,18,-4.6,2,903
RAIL180,USA,55.6,DBFOM,236.2,24,-8.1,4,1020
RAIL181,Africa,30.2,EPC,887.1,6,0.0,6,1059
RAIL182,Africa,55.6,EPC,3274.1,11,-4.0,38,800
RAIL183,USA,24.0,EPC,303.9,50,-1.2,9,853
RAIL184,Canada,47.3,EPC,3455.4,35,1.1,28,958
RAIL185,Europe,67.3,PPP,261.4,5,-0.8,3,843
RAIL186,Australia,61.2,PPP,1385.7,72,2.8,16,1116
RAIL187,Africa,19.6,Design-Bid-Build,745.1,37,-0.5,6,642
RAIL188,Africa,67.5,Alliance,3745.4,50,8.0,39,935
RAIL189,Europe,85.1,DBFOM,1953.1,64,2.4,18,875
RAIL190,South America,58.1,Alliance,119.6,47,-0.3,0,751
RAIL191,Africa,26.8,Design-Bid-Build,42.1,61,-2.7,0,784
RAIL192,Canada,63.7,Design-Bid-Build,424.5,101,-12.0,2,916
RAIL193,USA,59.2,EPC,2087.3,9,0.2,20,822
RAIL194,Africa,29.9,PPP,566.4,94,-1.0,7,771
RAIL195,Asia,31.4,EPC,1988.2,25,-4.3,21,793
RAIL196,Canada,57.6,DBFOM,309.2,32,-4.5,6,873
RAIL197,Africa,40.7,Alliance,3800.9,9,2.0,35,927
RAIL198,South America,76.2,Design-Bid-Build,1465.6,51,-1.4,13,548
RAIL199,Africa,89.4,Design-Bid-Build,1246.6,14,12.2,12,955
RAIL200,USA,56.4,DBFOM,7859.0,62,0.8,69,799
RAIL201,Europe,24.7,EPC,1490.5,51,2.1,21,756
RAIL202,Africa,29.4,DBFOM,1546.9,97,-4.3,16,793
RAIL203,Europe,64.2,EPC,2410.8,25,-1.7,23,1021
RAIL204,USA,29.0,Design-Bid-Build,1997.1,63,-3.8,18,913
RAIL205,USA,82.9,DBFOM,122.7,24,1.6,2,834
RAIL206,Asia,50.1,DBFOM,60.9,25,10.1,1,839
RAIL207,USA,42.6,DBFOM,372.5,47,7.7,3,747
RAIL208,Canada,34.3,Alliance,13.3,56,1.5,0,452
RAIL209,Asia,24.6,DBFOM,9272.1,48,-5.9,77,709
RAIL210,USA,73.0,PPP,5403.3,29,1.1,59,654
RAIL211,South America,28.7,Design-Bid-Build,289.1,39,-4.1,3,917
RAIL212,South America,54.2,Design-Bid-Build,901.4,62,-3.3,16,714
RAIL213,Europe,42.4,EPC,4081.5,61,-0.1,43,898
RAIL214,Asia,22.8,DBFOM,3610.7,15,0.5,34,457
RAIL215,South America,50.7,Alliance,2806.8,63,4.0,37,460
RAIL216,Asia,60.9,Design-Bid-Build,1018.4,37,2.4,9,630
RAIL217,Africa,44.8,Design-Bid-Build,335.1,38,-2.8,3,885
RAIL218,Asia,55.8,Design-Bid-Build,758.6,36,-5.6,10,818
RAIL219,Asia,70.1,EPC,741.4,26,5.5,6,705
RAIL220,USA,56.5,Design-Bid-Build,610.3,89,-0.2,4,600
RAIL221,USA,34.1,EPC,5882.9,61,-0.0,52,1094
RAIL222,Asia,46.0,DBFOM,795.4,24,-1.3,10,604
RAIL223,Asia,50.8,EPC,57.5,59,-6.6,2,903
RAIL224,Canada,8.1,Alliance,1333.7,126,5.7,11,747
RAIL225,South America,79.0,EPC,546.6,60,-1.1,1,447
RAIL226,South America,35.2,DBFOM,1364.2,64,0.7,9,766
RAIL227,USA,64.1,Design-Bid-Build,4144.7,36,1.0,39,1001
RAIL228,USA,56.2,Alliance,3711.9,66,4.0,28,900
RAIL229,Canada,68.3,Design-Bid-Build,408.7,8,-0.2,4,820
RAIL230,Asia,68.6,PPP,756.7,50,5.7,10,623
RAIL231,South America,32.0,Alliance,634.3,64,-5.8,5,735
RAIL232,Africa,49.9,Alliance,298.2,23,1.2,2,724
RAIL233,Africa,38.9,Design-Bid-Build,46.3,9,-12.9,0,713
RAIL234,Europe,37.0,Design-Bid-Build,4394.4,12,7.2,58,770
RAIL235,Europe,58.0,PPP,423.5,51,12.2,6,424
RAIL236,Canada,55.4,EPC,20.7,12,6.6,0,742
RAIL237,Europe,73.2,DBFOM,169.0,74,1.9,0,754
RAIL238,Africa,47.6,EPC,72.1,51,5.5,0,906
RAIL239,USA,15.6,Design-Bid-Build,1420.8,84,0.3,16,679
RAIL240,Africa,75.3,Alliance,1390.1,50,-9.0,12,906
RAIL241,USA,80.8,DBFOM,441.5,23,-1.1,3,958
RAIL242,Canada,78.9,PPP,40.8,12,-1.0,0,614
RAIL243,Asia,45.4,DBFOM,174.0,107,0.6,2,759
RAIL244,Europe,42.0,Design-Bid-Build,973.9,42,-7.2,15,665
RAIL245,USA,5.0,PPP,2184.4,2,-1.1,19,613
RAIL246,USA,48.1,DBFOM,66.9,81,4.4,0,788
RAIL247,Europe,6.1,Alliance,26.3,1,3.1,1,883
RAIL248,Australia,67.4,PPP,394.5,35,7.1,2,861
RAIL249,Europe,51.8,PPP,826.2,17,4.0,13,857
RAIL250,Africa,41.4,Alliance,2443.7,63,11.2,14,664
RAIL251,South America,41.0,Design-Bid-Build,7394.0,0,0.3,80,882
RAIL252,Canada,68.4,EPC,582.0,72,3.8,7,802
RAIL253,Africa,85.7,Alliance,251.0,25,-0.0,5,659
RAIL254,Africa,47.6,PPP,171.8,10,-1.4,3,805
RAIL255,USA,33.6,PPP,1661.7,27,-9.6,16,840
RAIL256,Australia,72.2,DBFOM,299.6,15,-5.3,3,487
RAIL257,South America,79.8,EPC,4109.3,32,2.0,42,883
RAIL258,Canada,61.0,Design-Bid-Build,4225.2,12,-7.5,33,1123
RAIL259,Europe,13.4,DBFOM,10.4,62,-5.9,0,701
RAIL260,Europe,44.8,Design-Bid-Build,339.4,48,4.0,1,1123
RAIL261,Australia,30.7,Alliance,79.4,85,-16.4,1,891
RAIL262,USA,59.9,EPC,108.9,24,5.7,2,828
RAIL263,Europe,56.9,PPP,446.2,11,-2.6,2,807
RAIL264,Europe,80.7,Alliance,836.0,58,-2.1,10,633
RAIL265,Canada,28.7,Alliance,461.6,37,-3.9,7,786
RAIL266,South America,30.7,Alliance,187.5,40,-3.8,1,583
RAIL267,Europe,22.2,Alliance,1575.0,37,-3.3,17,681
RAIL268,Asia,59.4,PPP,2913.8,12,6.3,35,805
RAIL269,USA,21.8,DBFOM,11225.6,99,0.2,118,774
RAIL270,South America,38.9,EPC,610.4,48,4.2,7,569
RAIL271,South America,54.9,EPC,82.4,21,-0.8,0,823
RAIL272,USA,35.5,PPP,77.3,38,-4.4,1,672
RAIL273,Canada,56.7,Design-Bid-Build,91.5,61,-4.3,0,866
RAIL274,South America,88.4,Design-Bid-Build,868.3,76,5.2,10,837
RAIL275,USA,34.0,Alliance,41.5,38,-2.5,0,917
RAIL276,Canada,39.5,Design-Bid-Build,524.3,1,-1.2,4,770
RAIL277,South America,70.0,Alliance,3441.8,36,6.1,27,858
RAIL278,Canada,76.6,EPC,1176.6,48,-3.3,9,799
RAIL279,Africa,34.7,EPC,425.6,25,-2.3,2,645
RAIL280,USA,56.1,PPP,293.6,6,-3.8,1,789
RAIL281,Asia,87.8,Alliance,1512.0,47,-0.6,15,1000
RAIL282,Canada,67.1,Design-Bid-Build,3622.5,1,-1.0,31,1036
RAIL283,Asia,68.1,Alliance,3518.0,93,-2.8,30,643
RAIL284,Africa,33.7,Alliance,82.0,24,-14.6,0,556
RAIL285,Asia,51.6,EPC,617.9,51,-12.8,8,917
RAIL286,South America,67.9,DBFOM,6.6,10,-4.9,1,774
RAIL287,Canada,37.7,Alliance,332.3,53,6.7,5,915
RAIL288,Asia,37.0,EPC,5295.8,32,-1.4,61,969
RAIL289,Asia,71.7,Alliance,5119.4,14,-4.5,56,631
RAIL290,Africa,62.7,EPC,652.8,35,-3.6,6,913
RAIL291,Canada,43.2,Design-Bid-Build,2927.8,17,2.6,28,644
RAIL292,Australia,19.4,EPC,2790.8,31,-0.3,25,698
RAIL293,Australia,28.8,DBFOM,3977.4,20,2.5,30,845
RAIL294,Asia,61.5,EPC,834.9,55,-6.2,8,1021
RAIL295,Europe,21.2,PPP,8.9,121,2.8,1,692
RAIL296,USA,39.2,DBFOM,1156.3,87,-3.1,8,768
RAIL297,Canada,40.3,PPP,672.3,43,-2.4,5,675
RAIL298,USA,38.5,DBFOM,381.8,121,-0.4,3,1038
RAIL299,Australia,27.3,PPP,7784.5,76,10.1,65,688
RAIL300,Europe,80.3,EPC,1592.9,62,-4.2,22,706
RAIL301,Europe,5.0,DBFOM,231.7,49,6.9,3,795
RAIL302,Europe,41.4,EPC,90.1,43,-7.5,0,679
RAIL303,Asia,63.0,DBFOM,732.9,107,8.4,7,859
RAIL304,USA,42.8,Alliance,381.1,51,-8.1,4,784
RAIL305,Asia,64.6,PPP,1428.8,73,3.0,13,905
RAIL306,USA,43.8,Design-Bid-Build,217.6,62,7.8,0,545
RAIL307,Africa,59.0,DBFOM,3471.6,83,0.5,30,746
RAIL308,South America,10.0,EPC,2810.7,88,0.3,27,588
RAIL309,Europe,14.4,Design-Bid-Build,225.3,25,-5.3,2,717
RAIL310,Australia,38.9,EPC,745.6,25,-6.5,4,629
RAIL311,USA,72.5,EPC,62.9,49,-5.7,1,894
RAIL312,Canada,53.4,Design-Bid-Build,308.7,51,-4.3,2,969
RAIL313,Australia,84.4,Alliance,3905.8,54,-0.8,57,1050
RAIL314,Africa,30.5,Alliance,1884.2,4,3.7,15,728
RAIL315,Asia,45.0,PPP,2721.6,13,7.0,32,957
RAIL316,Asia,66.9,DBFOM,1794.8,98,1.7,15,881
RAIL317,Africa,30.4,DBFOM,3559.7,23,-4.1,36,784
RAIL318,South America,34.6,DBFOM,549.4,7,1.0,2,626
RAIL319,Asia,49.7,DBFOM,1783.2,16,-5.9,22,722
RAIL320,Australia,41.0,Alliance,1997.3,13,-6.2,12,808
RAIL321,Australia,46.7,EPC,333.8,64,1.5,6,734
RAIL322,South America,90.9,DBFOM,2319.4,0,5.2,23,745
RAIL323,Europe,40.7,Design-Bid-Build,211.1,10,7.4,1,614
RAIL324,South America,42.9,DBFOM,799.2,88,-5.7,4,1149
RAIL325,Europe,54.7,Alliance,808.8,49,-2.4,3,723
RAIL326,Africa,58.1,EPC,344.7,43,6.3,3,792
RAIL327,Canada,35.2,EPC,3736.8,73,2.3,46,821
RAIL328,Asia,30.9,EPC,2965.7,81,1.5,33,822
RAIL329,USA,64.5,PPP,202.5,29,-1.7,0,684
RAIL330,Africa,5.0,PPP,2419.8,37,6.3,41,941
RAIL331,Asia,22.5,DBFOM,486.7,35,4.0,6,1114
RAIL332,South America,61.2,Design-Bid-Build,581.4,26,-6.1,4,869
RAIL333,USA,44.5,PPP,24.7,14,2.5,0,1136
RAIL334,Europe,22.4,Design-Bid-Build,124.8,76,1.9,1,807
RAIL335,South America,54.4,DBFOM,748.6,35,-7.5,8,1001
RAIL336,USA,32.3,Design-Bid-Build,73.2,58,7.3,1,639
RAIL337,Europe,47.8,Alliance,335.5,109,-2.1,1,804
RAIL338,Australia,62.8,PPP,81.9,59,4.7,2,627
RAIL339,Africa,42.2,Alliance,98.3,30,7.6,0,876
RAIL340,USA,62.5,PPP,113.4,132,-0.7,0,723
RAIL341,South America,59.2,PPP,58.1,60,-5.8,0,827
RAIL342,Asia,18.4,Design-Bid-Build,305.4,89,7.3,4,995
RAIL343,South America,47.0,PPP,3054.8,251,3.1,28,959
RAIL344,USA,42.2,Alliance,644.9,12,-0.5,8,864
RAIL345,USA,56.9,PPP,810.6,82,-1.1,8,848
RAIL346,USA,60.6,Alliance,525.7,62,-2.3,9,439
RAIL347,Europe,91.5,Design-Bid-Build,277.4,38,-0.7,5,871
RAIL348,South America,78.5,DBFOM,1042.0,96,-5.0,5,825
RAIL349,Canada,48.9,Alliance,5413.3,14,3.3,71,915
RAIL350,USA,63.5,DBFOM,698.4,60,-8.3,10,664
RAIL351,Africa,42.7,Design-Bid-Build,4993.0,36,1.3,52,619
RAIL352,Asia,66.7,EPC,132.7,2,3.6,1,727
RAIL353,Africa,35.3,DBFOM,2361.4,20,0.7,23,700
RAIL354,Africa,58.1,DBFOM,13934.2,13,-3.1,117,794
RAIL355,Canada,56.1,Alliance,275.2,15,5.4,4,721
RAIL356,Asia,67.6,DBFOM,202.6,24,-4.3,0,912
RAIL357,Africa,78.9,DBFOM,3212.8,70,5.6,40,561
RAIL358,Australia,59.9,Alliance,42.1,51,2.4,0,848
RAIL359,South America,21.3,DBFOM,199.7,7,-5.2,3,916
RAIL360,Australia,51.9,DBFOM,879.7,64,-1.8,16,843
RAIL361,Australia,65.5,Alliance,1274.5,25,-2.7,12,734
RAIL362,Australia,36.2,Design-Bid-Build,1024.9,13,-4.9,9,690
RAIL363,Europe,54.1,DBFOM,63.8,50,-3.0,1,740
RAIL364,Canada,58.6,DBFOM,0.1,61,0.1,3,668
RAIL365,Europe,40.8,EPC,468.1,16,2.5,1,929
RAIL366,South America,33.6,DBFOM,552.2,11,-4.7,3,992
RAIL367,Europe,24.9,EPC,954.9,47,6.4,12,959
RAIL368,Africa,29.8,Design-Bid-Build,5707.5,119,0.8,53,875
RAIL369,USA,43.3,Alliance,249.9,24,-6.1,4,842
RAIL370,Australia,95.1,PPP,1888.2,24,-3.3,15,733
RAIL371,Australia,54.4,PPP,891.7,20,3.9,18,675
RAIL372,South America,24.4,EPC,120.8,95,-1.3,1,845
RAIL373,South America,26.9,DBFOM,1065.6,47,-1.8,9,466
RAIL374,Europe,58.9,EPC,590.1,48,7.9,5,887
RAIL375,Australia,67.6,DBFOM,2383.9,37,-7.4,16,885
RAIL376,Africa,56.0,Alliance,6331.4,32,-4.3,53,991
RAIL377,USA,47.0,EPC,1729.2,13,7.6,25,929
RAIL378,Europe,60.5,PPP,818.9,9,-9.7,8,693
RAIL379,Canada,82.7,PPP,165.1,62,-3.8,3,746
RAIL380,USA,53.6,Design-Bid-Build,718.0,25,3.8,11,944
RAIL381,Asia,63.3,Design-Bid-Build,2074.7,50,5.5,20,857
RAIL382,USA,55.2,Alliance,4247.2,15,-5.8,43,871
RAIL383,Asia,61.7,DBFOM,3256.5,36,-1.0,37,700
RAIL384,Africa,38.0,DBFOM,237.8,25,-3.5,4,856
RAIL385,Africa,57.2,EPC,1636.1,37,6.0,12,847
RAIL386,Asia,85.5,Design-Bid-Build,4.4,16,-0.6,0,975
RAIL387,Canada,32.3,PPP,2702.5,53,-3.0,39,871
RAIL388,USA,32.6,DBFOM,3352.2,6,6.4,22,916
RAIL389,Australia,26.9,Alliance,1248.4,36,-11.8,11,766
RAIL390,Asia,30.8,Design-Bid-Build,402.1,8,2.4,3,903
RAIL391,Europe,52.8,Design-Bid-Build,288.4,64,-10.9,4,893
RAIL392,Europe,92.6,Design-Bid-Build,191.5,50,9.3,1,844
RAIL393,Asia,44.3,Alliance,1001.3,52,0.9,9,796
RAIL394,Canada,76.3,PPP,110.0,50,-2.5,1,588
RAIL395,Asia,47.8,Design-Bid-Build,2665.4,18,-1.5,23,975
RAIL396,Africa,65.8,DBFOM,1234.8,32,7.1,16,825
RAIL397,South America,69.2,Design-Bid-Build,451.7,63,5.7,7,1187
RAIL398,South America,36.8,Design-Bid-Build,477.7,44,-1.7,6,697
RAIL399,Australia,67.8,EPC,1949.9,36,1.4,30,757
RAIL400,Asia,92.7,EPC,210.5,59,1.3,2,761
